# Title: Global Land and Ocean September Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
Year,Anomaly
1850,-0.10
1851,0.04
1852,0.07
1853,-0.07
1854,-0.05
1855,-0.09
1856,-0.23
1857,-0.19
1858,-0.22
1859,-0.14
1860,-0.24
1861,-0.13
1862,-0.28
1863,-0.31
1864,-0.26
1865,-0.01
1866,-0.13
1867,-0.02
1868,-0.09
1869,-0.16
1870,-0.12
1871,-0.22
1872,-0.11
1873,-0.11
1874,-0.14
1875,-0.21
1876,-0.18
1877,0.18
1878,0.10
1879,-0.17
1880,-0.14
1881,-0.19
1882,-0.16
1883,-0.27
1884,-0.34
1885,-0.28
1886,-0.26
1887,-0.18
1888,-0.15
1889,-0.13
1890,-0.40
1891,-0.19
1892,-0.21
1893,-0.29
1894,-0.31
1895,-0.19
1896,-0.09
1897,-0.10
1898,-0.16
1899,0.03
1900,-0.10
1901,-0.17
1902,-0.24
1903,-0.46
1904,-0.47
1905,-0.28
1906,-0.23
1907,-0.33
1908,-0.42
1909,-0.34
1910,-0.33
1911,-0.36
1912,-0.49
1913,-0.29
1914,-0.18
1915,-0.14
1916,-0.30
1917,-0.21
1918,-0.16
1919,-0.22
1920,-0.19
1921,-0.15
1922,-0.29
1923,-0.32
1924,-0.29
1925,-0.23
1926,-0.14
1927,-0.07
1928,-0.09
1929,-0.21
1930,-0.14
1931,0.02
1932,-0.06
1933,-0.31
1934,-0.06
1935,-0.10
1936,-0.07
1937,0.14
1938,0.05
1939,-0.02
1940,0.12
1941,0.11
1942,0.06
1943,0.05
1944,0.33
1945,0.22
1946,-0.04
1947,-0.11
1948,-0.11
1949,-0.14
1950,-0.08
1951,0.14
1952,0.08
1953,0.01
1954,-0.09
1955,-0.07
1956,-0.19
1957,0.12
1958,-0.02
1959,0.02
1960,0.08
1961,0.07
1962,0.03
1963,0.17
1964,-0.24
1965,-0.07
1966,0.01
1967,0.01
1968,-0.09
1969,0.11
1970,0.10
1971,0.05
1972,0.09
1973,0.13
1974,-0.05
1975,0.02
1976,0.02
1977,0.12
1978,0.10
1979,0.28
1980,0.25
1981,0.22
1982,0.20
1983,0.42
1984,0.24
1985,0.17
1986,0.13
1987,0.40
1988,0.39
1989,0.39
1990,0.32
1991,0.42
1992,0.04
1993,0.19
1994,0.35
1995,0.41
1996,0.28
1997,0.61
1998,0.50
1999,0.42
2000,0.45
2001,0.55
2002,0.61
2003,0.69
2004,0.55
2005,0.71
2006,0.67
2007,0.60
2008,0.61
2009,0.76
2010,0.66
2011,0.62
2012,0.75
2013,0.76
2014,0.85
2015,0.93
2016,0.95
2017,0.86
2018,0.83
2019,0.94
2020,1.00
2021,0.93
2022,0.88
2023,1.43
2024,1.24
