Year,Month,Day,Flag.Tsunami,Flag.Earthquake,Volcano.Name,Location,Country,Elevation,Volcano.Type,Status,Volcanic.Explosivity.Index,Volcano...Deaths,Volcano...Deaths.Description,Volcano...Missing,Volcano...Missing.Description,Volcano...Injuries,Volcano...Injuries.Description,Volcano...Damage..in.M..,Volcano...Damage.Description,Volcano...Houses.destroyed,Volcano...Houses.destroyed.Description,Total.Effects...Deaths,Total.Effects...Deaths.Description,Total.Effects...Missing,Total.Effects...Missing.Description,Total.Effects...Injuries,Total.Effects...Injuries.Description,Total.Effects...Damages.in.million.Dollars,Total.Effects...Damage.Description,Total.Effects...Houses.Destroyed,Total.Effects...Houses.Destroyed.Description,Coordinates,Earthquakes...Houses.damaged.Description,Total.Effects...Houses.Damaged.Description,RowNumber
-141,8.0,15.39258114374034,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,,40.0,Few (~1 to 50 deaths),,,,,,,,,40.0,Few (~1 to 50 deaths),,,,,,,,,37.734,,,1
1262,8.0,15.39258114374034,,,Katla,Iceland-S,Iceland,1512.0,Subglacial volcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,63.63,,,2
1300,7.0,11.0,,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,4.0,,,,,,,,,,,600.0,Many (~101 to 1000 deaths),,,,,,,,,63.98,,,3
1331,12.0,15.39258114374034,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,32.88,,,4
1714,6.0,30.0,Tsunami,,Vesuvius,Italy,Italy,1281.0,Complex volcano,Historical,,,,,,,,,,,,,,,,,,,,,,40.821,,,5
1907,10.0,6.0,Tsunami,,Savai'i,Samoa-SW Pacific,Samoa,1858.0,Shield volcano,Historical,,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-13.612,,,6
1911,8.0,15.0,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,2.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,36.4,,,7
1913,1.0,20.0,,,Colima,Mexico,Mexico,3850.0,Stratovolcano,Historical,4.0,13.0,Few (~1 to 50 deaths),,,,,,,,,13.0,Few (~1 to 50 deaths),,,,,,,,,19.514,,,8
1944,6.0,10.0,,,Cleveland,Aleutian Is,United States,1730.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,52.82,,,9
1952,9.0,16.0,Tsunami,,Myojun Knoll,Izu Is-Japan,Japan,360.0,Submarine volcano,Holocene,2.0,,,,,,,,,,,,,,,,,,,,,32.1,,,10
1960,5.0,25.0,Tsunami,Earthquake,Puyehue,Chile-C,Chile,2236.0,Stratovolcano,Holocene,3.0,,,,,,,,,,,,,,,,,,,,,-40.59,,,11
1971,10.0,26.0,,,La Palma,Canary Is,Spain,2426.0,Stratovolcano,Historical,2.0,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,28.58,,,12
1972,10.0,9.0,Tsunami,,Ritter Island,New Guinea-NE of,Papua New Guinea,140.0,Stratovolcano,Historical,1.0,,,,,,,,,,,,,,,,,,,,,-5.52,,,13
1979,4.0,13.0,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220.0,Stratovolcano,Historical,3.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,13.33,,,14
1983,10.0,3.0,,Earthquake,Miyake-jima,Izu Is-Japan,Japan,815.0,Stratovolcano,Historical,3.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,34.08,,,15
